X,Y,FID,FAC_NAME,NAME,ADDRESS,CITY_STATE_ZIP,CITY,STATE,ZIP,OPERATING_STATUS,MEDICARE,MEDICARE_ID,MEDICAID,MEDICAID_ID,CERTIFIED_TOTAL_BEDS,COUNTY,ADMIN,PHONE,EMERGENCY_CONTACT,EMERGENCY_PHONE,EMERGENCY_FAX,EMERGENCY_EMAIL,DATE_GEOCODED,SOURCE,GEO_TRACT,GEO_COUNTY,GEO_ZIP,FACTYPE,SYMBOL,Latitude,Longitude,TYPE
-11704079.3871,4837164.9607,11,LARK HOME CARE INC (04S549),LARK HOME CARE INC,12500 W 58TH AVE #103,"ARVADA, CO   80002",ARVADA,CO,80002,01-ACTIVE,N,,N,,0/0,JEFFERSON,SVETLANA HOPCUS,(303) 423-0728,SVETLANA HOPCUS,(720) 891-5208,(303) 423-0898,larkhomecare@yahoo.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059009852,JEFFERSON,80002,Home Health Agency - HCA license - personal care homemaker,Home Health,39.801682,-105.139534,HCA-PHS
-11704079.3871,4837164.9607,12,LARK HOME CARE INC (04Q270),LARK HOME CARE INC,12500 W 58TH AVE #103,"ARVADA, CO   80002",ARVADA,CO,80002,01-ACTIVE,N,,N,,0/0,JEFFERSON,SVETLANA HOPCUS,(303) 423-0728,,,(303) 423-0898,,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059009852,JEFFERSON,80002,Home Care Agency - In-Home Support Services,Home Health,39.801682,-105.139534,HCA-IHSS
-11696535.9331,4835617.8674,13,COLORADO VNA LLC (0404A3),COLORADO VNA LLC,6750 W 52ND AVE,"ARVADA, CO   80002",ARVADA,CO,80002,01-ACTIVE,Y,067002,Y,63681536,0/0,JEFFERSON,Mr CHRISTOPHER LEE,(303) 698-2121,Chris Lee,(303) 698-6306,(303) 698-6373,leec@vnacolorado.org,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010405,JEFFERSON,80002,Home Health Agency - Medicare/Medicaid,Home Health,39.791004,-105.07177,HHA-1819
-11696535.9331,4835617.8674,14,COLORADO VNA HOSPICE & PALLIATIVE CARE (170401),COLORADO VNA HOSPICE & PALLIATIVE CARE,6750 WEST 52ND AVENUE,"ARVADA, CO   80002",ARVADA,CO,80002,01-ACTIVE,Y,061526,Y,29636761,0/0,JEFFERSON,Mr CHRISTOPHER LEE,(303) 698-2121,Christopher J Lee,(720) 355-6790,(303) 698-6373,leec@vnacolorado.org,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010405,JEFFERSON,80002,Hospice (Medicare),Hospice,39.791004,-105.07177,HOSPICE
-11699494.026,4836323.7224,15,SILVER ROSE (2304ML),SILVER ROSE,5420 FIELD COURT,"ARVADA, CO   80002",ARVADA,CO,80002,01-ACTIVE,N,,Y,90707010,10/10,JEFFERSON,Mr RODNEY KING,(303) 420-4295,rodney king,(303) 324-7529,(303) 420-4272,rmking65@msn.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010308,JEFFERSON,80002,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.795876,-105.098343,ALR/ACF
-11699642.6375,4836425.8669,16,JAXPOINTE AT FLOWER COURT ASSISTED LIVING (23H567),JAXPOINTE AT FLOWER COURT ASSISTED LIVING,5475 FLOWER COURT,"ARVADA, CO   80003",ARVADA,CO,80003,01-ACTIVE,N,,N,,0/8,JEFFERSON,Mr RUSSELL UDELHOFEN,(303) 420-9910,Russ Udelhofen,(303) 420-5590,(303) 420-9907,info@jaxpointe.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010308,JEFFERSON,80002,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.796581,-105.099678,ALRONLY
-11703902.7231,4836264.03,17,EVERGREEN SERVICE PROVIDERS (10L680),EVERGREEN SERVICE PROVIDERS,5460 WARD ROAD STE 230,"ARVADA, CO   80002",ARVADA,CO,80002,01-ACTIVE,N,,N,,0/0,JEFFERSON,Ms BARB MYERS,(303) 431-0306,Barb Myers,(303) 431-0306,,dezinlucy@aol.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010308,JEFFERSON,80002,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,39.795464,-105.137947,HCBS-IDD
-11698953.0133,4837207.9953,18,O'HANA SERVICE AGENCY LLC (10D408),O'HANA SERVICE AGENCY LLC,8600 RALSTON RD SUITE L 101,"ARVADA, CO   80002",ARVADA,CO,80002,01-ACTIVE,N,,N,,0/0,JEFFERSON,Ms VICTORIA HASKINS,(303) 422-2213,Victoria Haskins,(303) 940-7440,(303) 422-2246,ohana_1@aol.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010308,JEFFERSON,80002,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,39.801979,-105.093483,HCBS-IDD
-11703903.6136,4836031.7833,19,AUTISM SERVICES AND PROGRAMS LLC (10U235),AUTISM SERVICES AND PROGRAMS LLC,5400 WARD RD BLDG 2 SUITE G102,"ARVADA, CO   80002",ARVADA,CO,80002,01-ACTIVE,N,,N,,0/0,JEFFERSON,Ms LAURIE SPERRY,(571) 451-4380,,,(303) 999-9999,lasperry@hotmail.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010308,JEFFERSON,80002,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,39.793861,-105.137955,HCBS-IDD
-11703901.0533,4836490.0519,20,RISE PEDIATRIC THERAPY LLC (04C487),RISE PEDIATRIC THERAPY LLC,5610 WARD RD STE 300,"ARVADA, CO   80002",ARVADA,CO,80002,01-ACTIVE,N,,N,,0/0,JEFFERSON,Ms MEGAN RUDER,(720) 602-0384,,,(720) 302-2932,,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010308,JEFFERSON,80002,Home Health Agency - HCA license only,Home Health,39.797024,-105.137932,HHA-LCE
-11696050.1349,4842392.3432,21,ABOVE AND BEYOND ENTERPRISES (10K434),ABOVE AND BEYOND ENTERPRISES,6432 WEST 78TH AVE,"ARVADA, CO   80003",ARVADA,CO,80003,01-ACTIVE,N,,Y,16856503,0/0,JEFFERSON,Ms PATRICIA LYONS,(720) 495-7692,PATRICIA LYONS,(720) 495-7692,,ABOVEANDBEYONDPASA@GMAIL.COM,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010209,JEFFERSON,80003,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,39.837749,-105.067406,HCBS-IDD
-11695888.7216,4844057.2117,22,A WILDFLOWER ASSISTED LIVING AND CARE HOME INC (23H526),A WILDFLOWER ASSISTED LIVING AND CARE HOME INC,6197 W 83RD WAY,"ARVADA, CO   80003",ARVADA,CO,80003,01-ACTIVE,N,,Y,47750880,8/8,JEFFERSON,Ms NICOLE SCHIAVONE,(303) 463-4363,Nicole Schiavone,(720) 628-9092,(303) 422-1795,nicole@awildflowerassistedliving.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059009833,JEFFERSON,80003,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.849232,-105.065956,ALR/ACF
-11695888.7216,4844057.2117,23,A WILDFLOWER ASSISTED LIVING AND CARE HOME INC (23S208),A WILDFLOWER ASSISTED LIVING AND CARE HOME INC,6197 W 83RD WAY,"ARVADA, CO   80003",ARVADA,CO,80003,01-ACTIVE,N,,N,,0/0,JEFFERSON,Ms NICOLE SCHIAVONE,(303) 463-4363,Nicole Schiavone,(720) 628-9092,(303) 422-1795,nicole@awildflowerassistedliving.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059009833,JEFFERSON,80003,Assisted Living Residence - Brain Injury,Assisted Living Residence/Nursing Home,39.849232,-105.065956,ALR/BISL
-11696492.5185,4839084.7452,24,ALMOST LIKE HOME (23Y383),ALMOST LIKE HOME,6761 WEST 65TH AVENUE,"ARVADA, CO   80003",ARVADA,CO,80003,01-ACTIVE,N,,N,,0/72,JEFFERSON,Mr TIMOTHY VANMETER,(303) 432-2000,Timothy R. Van Meter,(303) 888-5459,(303) 432-2122,tim@alzhomes.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010212,JEFFERSON,80003,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.81493,-105.07138,ALRONLY
-11696559.6442,4839577.9379,25,67TH GROUP HOME (06X365),67TH GROUP HOME,6799 W 67TH AVENUE,"ARVADA, CO   80003",ARVADA,CO,80003,01-ACTIVE,Y,06G089,N,,8/8,JEFFERSON,Ms DAWN JACOBS,(303) 463-2500,None,,(303) 463-2501,dawn.jacobs@state.co.us,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010212,JEFFERSON,80003,Intermediate Care Facility For Intellectually Disabled,Disability Care,39.818333,-105.071983,ICF/IID
-11696150.3224,4838770.1175,26,LAMAR (06C452),LAMAR,6397 LAMAR PLACE,"ARVADA, CO   80003",ARVADA,CO,80003,01-ACTIVE,Y,06G086,N,,8/8,JEFFERSON,Ms DAWN JACOBS,(303) 463-2391,NONE,,(303) 463-2501,,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010212,JEFFERSON,80003,Intermediate Care Facility For Intellectually Disabled,Disability Care,39.812759,-105.068306,ICF/IID
-11697025.9615,4838918.9521,27,JAXPOINTE AT SAULSBURY CT ASSISTED LIVING (23X280),JAXPOINTE AT SAULSBURY CT ASSISTED LIVING,6445 SAULSBURY CT,"ARVADA, CO   80003",ARVADA,CO,80003,01-ACTIVE,N,,N,,0/8,JEFFERSON,Mr RUSSELL UDELHOFEN,(303) 420-5590,Russ Udelhofen,(303) 420-5590,(303) 420-9907,info@jaxpointe.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010212,JEFFERSON,80003,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.813786,-105.076172,ALRONLY
-11697493.0581,4840361.9082,28,MANTO HOMES LLC (23043K),MANTO HOMES LLC,7465 W 69TH PL,"ARVADA, CO   80003",ARVADA,CO,80003,01-ACTIVE,N,,Y,15732339,12/12,JEFFERSON,Ms MARIA BOUTROUS,(303) 431-6575,,,(303) 438-7165,,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010208,JEFFERSON,80003,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.823742,-105.080368,ALR/ACF
-11696260.7514,4839942.3047,29,ASSISTED LIVING OF ARVADA INC (23S680),ASSISTED LIVING OF ARVADA INC,6845 NEWLAND STREET,"ARVADA, CO   80003",ARVADA,CO,80003,01-ACTIVE,N,,N,,12/12,JEFFERSON,CHIRAG SHAH,(303) 834-5646,CHIRAG SHAH,,(844) 720-7880,scs.alr.co@gmail.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010208,JEFFERSON,80003,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.820847,-105.069298,ALR/ACF
-11697389.4197,4842642.4254,30,GRACIA HOSPICE GROUP INC (17S735),GRACIA HOSPICE GROUP INC,7985 N VANCE DR STE 308,"ARVADA, CO   80003",ARVADA,CO,80003,01-ACTIVE,Y,061611,N,,0/0,JEFFERSON,Mr SERGIO HERNANDEZ,(720) 531-3172,,,(720) 242-9110,sh7day@me.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010208,JEFFERSON,80003,Hospice (Medicare),Hospice,39.839474,-105.079437,HOSPICE
-11695437.7664,4837733.6989,31,ARVADA CARE AND REHABILITATION CENTER (020415),ARVADA CARE AND REHABILITATION CENTER,6121 W 60TH AVE,"ARVADA, CO   80003",ARVADA,CO,80003,01-ACTIVE,Y,065321,Y,68482825,54/54,JEFFERSON,Mr RAY LAURITZEN,(303) 420-4550,David Jorgensen,(949) 439-1483,(888) 893-9379,Admin:  rlauritzen@ensignservices.net,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010213,JEFFERSON,80003,Nursing Home,Assisted Living Residence/Nursing Home,39.805607,-105.061905,SNF/NF
-11696025.422,4839313.005,32,ACCENT ON ELDER CARE (2304NY),ACCENT ON ELDER CARE,6395 W 66TH AVE,"ARVADA, CO   80003",ARVADA,CO,80003,01-ACTIVE,N,,Y,89054831,6/6,JEFFERSON,Mr RODNEY KING,(303) 456-9246,,,(303) 456-1737,,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010213,JEFFERSON,80003,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.816505,-105.067184,ALR/ACF
-11695782.5228,4837729.7864,33,"WELL HOUSE ARVADA LLC, THE (23Z778)","WELL HOUSE ARVADA LLC, THE",6501 W 60TH AVENUE,"ARVADA, CO   80003",ARVADA,CO,80003,01-ACTIVE,N,,N,,0/12,JEFFERSON,Ms BRIANNA BECAY,(303) 489-9025,,,,,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010213,JEFFERSON,80003,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.80558,-105.065002,ALRONLY
-11695252.6421,4839774.1784,34,CARING TOUCH (10C958),CARING TOUCH,6784 GRAY STREET,"ARVADA, CO   80003",ARVADA,CO,80003,01-ACTIVE,N,,N,,0/0,JEFFERSON,MATTHEW BRIGHT,(303) 579-3121,Matthew Bright,,(303) 423-3399,mbright@caringtouchllc.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010213,JEFFERSON,80003,Home Care Placement Agency,Home Health,39.819687,-105.060242,HCPA
-11698440.8323,4837237.2647,35,HOMEWATCH CAREGIVERS OF NORTH SUBURBAN DENVER (04Y295),HOMEWATCH CAREGIVERS OF NORTH SUBURBAN DENVER,5801 BALSAM PL,"ARVADA, CO   80004",ARVADA,CO,80004,01-ACTIVE,N,,N,,0/0,JEFFERSON,Mr ARTHUR SANCHEZ,(720) 524-4192,Arthur A Sanchez,(720) 215-7683,(720) 583-2047,asanchez@hwcg.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010305,JEFFERSON,80004,Home Health Agency - HCA license - personal care homemaker,Home Health,39.802181,-105.088882,HCA-PHS
-11699533.8784,4838792.2903,36,"OBERON HOUSE, THE (2304C7)","OBERON HOUSE, THE",9160 W 64TH AVENUE,"ARVADA, CO   80004",ARVADA,CO,80004,01-ACTIVE,N,,Y,37885731,25/66,JEFFERSON,Mr GREGG DIRKS,(303) 420-7258,Lynne Wesenberg,(303) 359-6973,(303) 420-6375,g.dirks@comcast.net,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010210,JEFFERSON,80004,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.812912,-105.098701,ALR/ACF
-11699739.4855,4839942.3047,37,68TH HOUSE (06W362),68TH HOUSE,9230 W 68TH PLACE,"ARVADA, CO   80004",ARVADA,CO,80004,01-ACTIVE,Y,06G080,Y,65501888,8/8,JEFFERSON,Ms DAWN JACOBS,(303) 422-1335,Dawn Laws Jacobs,(303) 463-2657,(303) 463-5260,dawn.jacobs@state.co.us,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010210,JEFFERSON,80004,Intermediate Care Facility For Intellectually Disabled,Disability Care,39.820847,-105.100548,ICF/IID
-11699696.9614,4838939.9659,38,APPLEWOOD OUR HOUSE ASSISTED LIVING FACILITY III (23D697),APPLEWOOD OUR HOUSE ASSISTED LIVING FACILITY  III,6435 GARRISON ST,"ARVADA, CO   80003",ARVADA,CO,80003,01-ACTIVE,N,,N,,0/16,JEFFERSON,Ms SHERRIE BONHAM,(303) 424-6435,Malou van Eijk,(303) 956-9037,(303) 459-5551,malou@applewoodourhouse.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010210,JEFFERSON,80004,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.813931,-105.100166,ALRONLY
-11698981.845,4839916.7957,39,DESTINATION INDEPENDENCE (10C967),DESTINATION INDEPENDENCE,6826 DUDLEY CIR,"ARVADA, CO   80004",ARVADA,CO,80004,01-ACTIVE,N,,N,,0/0,JEFFERSON,Mr BOB MATTER,(303) 945-6205,Bob Matter,,,bobmatter@yahoo.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010210,JEFFERSON,80004,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,39.820671,-105.093742,HCBS-IDD
-11698981.845,4839916.7957,40,ASSISTED CYCLING TOURS INC (10K178),ASSISTED CYCLING TOURS INC,6826 DUDLEY CIR,"ARVADA, CO   80004",ARVADA,CO,80004,01-ACTIVE,N,,Y,1505262,0/0,JEFFERSON,Mr BOB MATTER,(303) 578-2281,,,,,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010210,JEFFERSON,80004,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,39.820671,-105.093742,HCBS-IDD
-11699913.5891,4840031.8766,41,"GARDENS CARE HOMES MAJESTIC VIEW, THE (23Z791)","GARDENS CARE HOMES MAJESTIC VIEW, THE",6882 GARLAND STREET,"ARVADA, CO   80004",ARVADA,CO,80004,01-ACTIVE,N,,N,,0/12,JEFFERSON,Ms JENNIFER CONRAD,(303) 421-6539,Jennifer Conrad,(303) 421-6539,(303) 431-6222,TheGardensCareHomes@gmail.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010210,JEFFERSON,80004,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.821465,-105.102112,ALRONLY
-11699700.4123,4839348.5126,42,APPLEWOOD OUR HOUSE ASSISTED LIVING FACILITY 5 LLC (23R660),APPLEWOOD OUR HOUSE ASSISTED LIVING FACILITY 5 LLC,6595 GARRISON ST,"ARVADA, CO   80004",ARVADA,CO,80004,01-ACTIVE,N,,N,,0/16,JEFFERSON,Ms SHERRIE BONHAM,(720) 923-7923,Sherrie Bonham,(303) 248-6966,(303) 967-2387,,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010210,JEFFERSON,80004,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.81675,-105.100197,ALRONLY
-11701047.3782,4840773.847,43,CARING HEARTS OF ARVADA LLC (23E913),CARING HEARTS OF ARVADA LLC,10185 W 71ST PLACE,"ARVADA, CO   80004",ARVADA,CO,80004,01-ACTIVE,N,,N,,0/8,JEFFERSON,Mr JEFFREY HUNTSMAN,(720) 508-4195,,,(720) 282-3102,,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010205,JEFFERSON,80004,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.826584,-105.112297,ALRONLY
-11700352.6332,4839402.1365,44,IRIS HOUSE (06G127),IRIS HOUSE,6614 IRIS STREET,"ARVADA, CO   80004",ARVADA,CO,80004,01-ACTIVE,Y,06G084,Y,79059571,8/8,JEFFERSON,Ms DAWN JACOBS,(303) 424-0502,none,,(303) 463-5463,,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010303,JEFFERSON,80004,Intermediate Care Facility For Intellectually Disabled,Disability Care,39.81712,-105.106056,ICF/IID
-11702103.0209,4838781.856,45,M C P N - Arvada Clinic (CO061899),M C P N - ARVADA HEALTH CENTER,"11005 RALSTON ROAD, SUITE 1006","ARVADA, CO   80004",ARVADA,CO,80004,01-ACTIVE,Y,061899,N,,0/0,JEFFERSON,,(303) 431-0844,,,(303) 456-6124,,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010303,JEFFERSON,80004,Federally Qualified Health Center,FQHC,39.81284,-105.12178,FQHC
-11702328.1089,4838917.7927,46,GARDENS ON QUAIL (23U764),GARDENS ON QUAIL,6447 QUAIL STREET,"ARVADA, CO   80004",ARVADA,CO,80004,01-ACTIVE,N,,N,,0/66,JEFFERSON,Ms KIMBERLY EDMAN,(303) 456-1500,Kimberly Edman,(713) 397-2490,(303) 456-1501,kimedman@gmail.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010303,JEFFERSON,80004,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.813778,-105.123802,ALRONLY
-11702328.1089,4838917.7927,47,GARDENS ON QUAIL (02A839),GARDENS ON QUAIL,6447 QUAIL ST,"ARVADA, CO   80004",ARVADA,CO,80004,01-ACTIVE,Y,065406,N,,60/60,JEFFERSON,Ms KIMBERLY EDMAN,(303) 456-1500,Kimberly Edman,(303) 334-0914,(303) 456-1501,kedman@colavria.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010303,JEFFERSON,80004,Nursing Home,Assisted Living Residence/Nursing Home,39.813778,-105.123802,SNF
-11700072.4421,4838847.0706,48,A WILDFLOWER ASSISTED LIVING AND CARE HOME INC (23X367),A WILDFLOWER ASSISTED LIVING AND CARE HOME INC,9423 W 64TH AVENUE,"ARVADA, CO   80004",ARVADA,CO,80004,01-ACTIVE,N,,N,,8/8,JEFFERSON,Ms NICOLE SCHIAVONE,(303) 424-0523,,,(866) 941-0523,,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010304,JEFFERSON,80004,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.81329,-105.103539,ALR/ACF
-11700072.4421,4838847.0706,49,"JOURNEY BRAIN INJURY COMMUNITY SERVICES LLC, THE (10S291)","JOURNEY BRAIN INJURY COMMUNITY SERVICES LLC, THE",9423 W 64TH AVENUE,"ARVADA, CO   80004",ARVADA,CO,80004,01-ACTIVE,N,,N,,0/0,JEFFERSON,CHERYL CATSOULIS,(970) 576-8100,Nicole Zamparelli-Schiavo,(720) 628-9092,(970) 000-0000,nicole@thejourneybics.org,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010304,JEFFERSON,80004,Adult Day,Adult Day Care Facility,39.81329,-105.103539,ADAY
