X,Y,OBJECTID,RESOURCE_NAME,ADDRESS,CITY,STATE,ZIP,PHONE,MAP_NAME,DATE_GEOCODED,LONGITUDE,LATITUDE,COUNTY,GEO_ACCURACY
-108.50567,39.078821,15,Associated Governments of Northwest Colorado,"510 29 1/2 Rd., PO Box 2000",Grand Junction,CO,81502,844.265.2372 (Toll Free),Aging and Disability Resources for Colorado,August 2014,-108.50567,39.078821,MESA COUNTY,MATCH
-107.87921,38.481979,16,Region 10 Area Agency on Aging,"300 N. Cascade Ave., Drawer 849",Montrose,CO,81402,844.265.2372 (Toll Free),Aging and Disability Resources for Colorado,August 2014,-107.87921,38.481979,MONTROSE COUNTY,MATCH
-103.801687,40.24901,17,Northeastern Colorado Association of Local Governments,"231 Main St., Suite 211",Fort Morgan,CO,80701,844.265.2372 (Toll Free),Aging and Disability Resources for Colorado,August 2014,-103.801687,40.24901,MORGAN COUNTY,MATCH
-103.543677,37.986099,18,Lower Arkansas Valley Area Agency on Aging,"13 W. 3rd St., PO Box 494",La Junta,CO,81050,844.265.2372 (Toll Free),Aging and Disability Resources for Colorado,August 2014,-103.543677,37.986099,OTERO COUNTY,MATCH
-104.56296,38.272324,19,Pueblo Area Agency on Aging - Southern Region,2631 E. 4th Street,Pueblo,CO,81001,844.265.2372 (Toll Free),Aging and Disability Resources for Colorado,August 2014,-104.56296,38.272324,PUEBLO COUNTY,MATCH
-106.076948,39.62827,20,Northwest Colorado Council of Governments - Alpine Agency on Aging,"249 Warren Ave., PO Box 2308",Silverthorne,CO,80498,844.265.2372 (Toll Free),Aging and Disability Resources for Colorado,August 2014,-106.076948,39.62827,SUMMIT COUNTY,MATCH
-104.697213,40.43701,21,Weld County Area Agency on Aging,"315 C. N. 11th Ave., PO Box 1805",Greeley,CO,80631,844.265.2372 (Toll Free),Aging and Disability Resources for Colorado,September 2016,-104.697213,40.43701,WELD COUNTY,MATCH
-107.878831,37.273485,22,San Juan Basin Area Agency on Aging,954 East 2nd Ave. (P.O. Box 3412),Durango,CO,81302,970-264-0501,Aging and Disability Resources for Colorado,March 2017,-107.878831,37.273485,LA PLATA COUNTY,MATCH
-104.985204,39.723455,23,Alzheimer's Association,455 Sherman St. Suite 500,Denver,CO,80203,n/a,Alzheimer's Association - Colorado Chapter Offices,August 2014,-104.985204,39.723455,DENVER COUNTY,MATCH
-104.864261,38.841296,24,Alzheimer's Association,2315 Bott Ave.,Colorado Springs,CO,80904,n/a,Alzheimer's Association - Colorado Chapter Offices,August 2014,-104.864261,38.841296,EL PASO COUNTY,MATCH
-107.883895,37.272773,25,Alzheimer's Association,701 Camino Del Rio #321,Durango,CO,81301,n/a,Alzheimer's Association - Colorado Chapter Offices,August 2014,-107.883895,37.272773,LA PLATA COUNTY,MATCH
-105.07211,40.582011,26,Alzheimer's Association,415 Peterson St.,Fort Collins,CO,80524,n/a,Alzheimer's Association - Colorado Chapter Offices,August 2014,-105.07211,40.582011,LARIMER COUNTY,MATCH
-108.560853,39.087659,27,Alzheimer's Association,"2232 B, 7th Ave.  Suite B1",Grand Junction,CO,81501,n/a,Alzheimer's Association - Colorado Chapter Offices,August 2014,-108.560853,39.087659,MESA COUNTY,MATCH
-104.626772,38.312064,28,Alzheimer's Association,4104 Outlook Blvd. Bldg. B,Pueblo,CO,81004,n/a,Alzheimer's Association - Colorado Chapter Offices,August 2014,-104.626772,38.312064,PUEBLO COUNTY,MATCH
-104.690455,40.389121,29,Alzheimer's Association,3001 8th Ave. Suite 100,Evans,CO,80620,n/a,Alzheimer's Association - Colorado Chapter Offices,August 2014,-104.690455,40.389121,WELD COUNTY,MATCH
-104.977923,39.89983,30,The Arc of Adams County,641 E. 112th Ave.,Northglenn,CO,80233,303.428.0310,Arc Offices,August 2014,-104.977923,39.89983,ADAMS COUNTY,MATCH
-104.809596,39.692216,31,The Arc of Aurora,1342 S. Chambers Rd.,Aurora,CO,80017,720.213.1420,Arc Offices,August 2014,-104.809596,39.692216,ARAPAHOE COUNTY,MATCH
-104.841023,39.598107,32,The Arc of Arapahoe & Douglas Counties,6838 S. Racine Circle,Centennial,CO,80111,303.220.9228,Arc Offices,August 2014,-104.841023,39.598107,ARAPAHOE COUNTY,CORRECTED
-105.096749,40.164196,33,The Association for Community Living in Boulder County,309 Atwood St.,Longmont,CO,80501,303.527.0888,Arc Offices,August 2014,-105.096749,40.164196,BOULDER COUNTY,MATCH
-104.985018,39.746389,34,Advocacy Denver,1905 Sherman St. Suite 300,Denver,CO,80203,303.831.7733,Arc Offices,August 2014,-104.985018,39.746389,DENVER COUNTY,MATCH
-104.796386,38.833391,35,The Arc of the Pikes Peak Region,12 N. Meade Ave.,Colorado Springs,CO,80918,719.471.4800,Arc Offices,August 2014,-104.796386,38.833391,EL PASO COUNTY,MATCH
-105.154519,39.738409,36,"The Arc of Jefferson, Clear Creek & Gilpin Counties","13949 W. Colfax Ave. Denver West Building 1, Suite 150",Lakewood,CO,80401,303.232.1338,Arc Offices,August 2014,-105.154519,39.738409,JEFFERSON COUNTY,MATCH
-105.096653,40.567099,37,The Arc of Larimer County,1121 W. Prospect Rd.,Fort Collins,CO,80526,970.204.6991,Arc Offices,August 2014,-105.096653,40.567099,LARIMER COUNTY,MATCH
-108.550650895,39.0638731616,38,The Arc of Mesa County,PO Box 2292,Grand Junction,CO,81502,970.245.5775,Arc Offices,August 2014,-108.550650895,39.0638731616,MESA COUNTY,CORRECTED
-104.659689,38.219434,39,The Arc of Pueblo,2705 Vinewood Lane,Pueblo,CO,81005,719.545.5845,Arc Offices,August 2014,-104.659689,38.219434,PUEBLO COUNTY,MATCH
-104.769803,40.422713,40,The Arc of Weld County,5312 W. 9th St. Drive  Suite 150,Greeley,CO,80634,970.353.5219,Arc Offices,August 2014,-104.769803,40.422713,WELD COUNTY,MATCH
-105.863089,37.470262,41,South-Central Colorado Seniors Inc.,"1116 3rd St., PO Box 639",Alamosa,CO,81101,719.589.4511,Area Agencies on Aging,August 2014,-105.863089,37.470262,ALAMOSA COUNTY,MATCH
-107.009907,37.261768,42,San Juan Basin Area Agency on Aging - Pagosa Springs,"451 Hot Springs Blvd., PO Box 5456",Pagosa Springs,CO,81147,970.264.0501,Area Agencies on Aging,August 2014,-107.009907,37.261768,ARCHULETA COUNTY,MATCH
-105.281893,40.037018,43,Boulder County Aging Services Division,3482 N. Broadway,Boulder,CO,80306,303.441.3570,Area Agencies on Aging,August 2014,-105.281893,40.037018,BOULDER COUNTY,MATCH
-105.99306,38.534188,44,Upper Arkansas Area Agency on Aging - Southern Region,139 E. 3rd St.,Salida,CO,81201,719.539.3341,Area Agencies on Aging,August 2014,-105.99306,38.534188,CHAFFEE COUNTY,MATCH
-104.987194,39.736661,45,DRCOG Area Agency on Aging,"1290 Broadway, Suite 700",Denver,CO,80203,303.455.1000,Area Agencies on Aging,August 2014,-104.987194,39.736661,DENVER COUNTY,MATCH
-104.837065,38.833463,46,Pikes Pieak Area Agency on Aging,15 S. 7th St.,Colorado Springs,CO,80905,719.471.2096,Area Agencies on Aging,August 2014,-104.837065,38.833463,EL PASO COUNTY,MATCH
-102.604935,39.306431,47,East Central Council of Governments,"128 Colorado Ave., PO Box 28",Stratton,CO,80836,719.348.5562,Area Agencies on Aging,August 2014,-102.604935,39.306431,KIT CARSON COUNTY,MATCH
-107.633109894,37.1150041619,48,Southern Ute Indian Tribe- Southern Ute Community Action Programs in Ignacio,PO Box 800,Ignacio,CO,81137,970.563.4561,Area Agencies on Aging,August 2014,-107.633109894,37.1150041619,LA PLATA COUNTY,CORRECTED
-105.029967,40.56067,49,Larimer County Office on Aging - Larimer County Human Services,"2601 Midpoint, Suite 112",Fort Collins,CO,80524,970.498.7750,Area Agencies on Aging,August 2014,-105.029967,40.56067,LARIMER COUNTY,MATCH
-104.487119,37.174252,50,Huerfano/Las Animas Area Council of Governments d/b/a South Central Council of Governments AAA,300 Bonaventure Ave.,Trinidad,CO,81082,719.845.1133,Area Agencies on Aging,August 2014,-104.487119,37.174252,LAS ANIMAS COUNTY,MATCH
-108.50567,39.078821,51,Associated Governments of Northwest Colorado,"510 29 1/2 Rd., PO Box 2000-5035",Grand Junction,CO,81502,970.248.2717,Area Agencies on Aging,August 2014,-108.50567,39.078821,MESA COUNTY,MATCH
-108.731235895,37.2044821612,52,Ute Mountain Ute Tribe of Indians - Title VI Senior Citizens Program in Towaoc,PO Box 189,Towaoc,CO,81334,970.564.0630,Area Agencies on Aging,August 2014,-108.731235895,37.2044821612,MONTEZUMA COUNTY,CORRECTED
-107.87921,38.481979,53,Region 10 Area Agency on Aging,"300 N. Cascade Ave., Drawer 849",Montrose,CO,81402,970.249.2436,Area Agencies on Aging,August 2014,-107.87921,38.481979,MONTROSE COUNTY,MATCH
-103.801687,40.24901,54,Northeastern Colorado Association of Local Governments,"231 Main St., Suite 211",Fort Morgan,CO,80701,970.867.9409,Area Agencies on Aging,August 2014,-103.801687,40.24901,MORGAN COUNTY,MATCH
-103.543677,37.986099,55,Lower Arkansas Valley Area Agency on Aging,"13 W. 3rd St., Room 110, PO Box 494",La Junta,CO,81050,719.383.3166,Area Agencies on Aging,August 2014,-103.543677,37.986099,OTERO COUNTY,MATCH
-104.56296,38.272324,56,Pueblo Area Agency on Aging - Southern Region,2631 E. 4th St.,Pueblo,CO,81001,719.583.6120,Area Agencies on Aging,August 2014,-104.56296,38.272324,PUEBLO COUNTY,MATCH
-106.076948,39.62827,57,Northwest Colorado Council of Governments Alpine Agency on Aging,"249 Warren Ave., PO Box 2308",Silverthorne,CO,80498,970.468.0295,Area Agencies on Aging,August 2014,-106.076948,39.62827,SUMMIT COUNTY,MATCH
-104.697213,40.43701,58,Weld County Area Agency on Aging,"315 C. N. 11th Ave., PO Box 1805",Greeley,CO,80631,970.346.6950,Area Agencies on Aging,September 2016,-104.697213,40.43701,WELD COUNTY,MATCH
-107.878831,37.273485,59,San Juan Basin Area Agency on Aging,954 East 2nd Ave. (P.O. Box 3412),Durango,CO,81302,970-264-0501,Area Agencies on Aging,March 2017,-107.878831,37.273485,LA PLATA COUNTY,MATCH
-105.037212895,39.8366581613001,60,Adams County BOCES,,Westminster,CO,80234,303.286.7294,Board of Cooperative Educational Services,August 2014,-105.037212895,39.8366581613,ADAMS COUNTY,CORRECTED
-105.870018895,37.4694421617,61,San Luis Valley BOCES,,Alamosa,CO,81101,719.589.5851,Board of Cooperative Educational Services,August 2014,-105.870018895,37.4694421617,ALAMOSA COUNTY,CORRECTED
-105.20166,40.014116,62,Front Range BOCES,"6500 Arapahoe Rd., c/o Boulder Valley School District",Boulder,CO,80303,720.561.5096,Board of Cooperative Educational Services,August 2014,-105.20166,40.014116,BOULDER COUNTY,MATCH
-104.984706894,39.7391611619001,63,Espeditionary BOCES Learning School,,Denver,CO,80222,303.759.2076,Board of Cooperative Educational Services,August 2014,-104.984706894,39.7391611619,DENVER COUNTY,CORRECTED
-104.821356895,38.8338781619,64,Pikes Peak BOCES,,Colorado Springs,CO,80906,719.570.7474,Board of Cooperative Educational Services,August 2014,-104.821356895,38.8338781619,EL PASO COUNTY,CORRECTED
-104.917206895,38.8597081615,65,Ute Pass BOCES,,Manitou Springs,CO,80829,719.685.2640,Board of Cooperative Educational Services,August 2014,-104.917206895,38.8597081615,EL PASO COUNTY,CORRECTED
-107.211171894,39.4022101618,66,Mountain BOCES,,Carbondale,CO,81623,970.963.3243,Board of Cooperative Educational Services,August 2014,-107.211171894,39.4022101618,GARFIELD COUNTY,CORRECTED
-107.880069895,37.2752851618001,67,San Juan BOCES,,Durango,CO,81301,970.247.3261,Board of Cooperative Educational Services,August 2014,-107.880069895,37.2752851618,LA PLATA COUNTY,CORRECTED
-106.292514895,39.2508211619001,68,Mountain BOCES,,Leadville,CO,80461,719.486.2603,Board of Cooperative Educational Services,August 2014,-106.292514895,39.2508211619,LAKE COUNTY,CORRECTED
-103.686846,39.261903,69,East Central BOCES,"820 2nd St., PO Box 910",Limon,CO,80828,719.775.2342,Board of Cooperative Educational Services,August 2014,-103.686846,39.261903,LINCOLN COUNTY,MATCH
-108.550650895,39.0638731616,70,Grand Valley BOCES,,Grand Junction,CO,81505,970.255.2700,Board of Cooperative Educational Services,August 2014,-108.550650895,39.0638731616,MESA COUNTY,CORRECTED
-108.504543895,37.4738791613,71,San Juan BOCES,,Dolores,CO,81323,970.565.8411,Board of Cooperative Educational Services,August 2014,-108.504543895,37.4738791613,MONTEZUMA COUNTY,CORRECTED
-103.799937895,40.2502621611001,72,Centennial BOCES,,Fort Morgan,CO,80701,970.867.8297,Board of Cooperative Educational Services,August 2014,-103.799937895,40.2502621611,MORGAN COUNTY,CORRECTED
-103.543824895,37.9850071618001,73,Santa Fe Trail BOCES,,La Junta,CO,81050,719.383.2623,Board of Cooperative Educational Services,August 2014,-103.543824895,37.9850071618,OTERO COUNTY,CORRECTED
-107.761728895,38.1527671612,74,Uncompahgre BOCES,,Ridgway,CO,81432,970.626.2977,Board of Cooperative Educational Services,August 2014,-107.761728895,38.1527671612,OURAY COUNTY,CORRECTED
-105.474765894,39.4056661611,75,Mt. Evans BOCES,,Bailey,CO,80421,303.679.7441,Board of Cooperative Educational Services,August 2014,-105.474765894,39.4056661611,PARK COUNTY,CORRECTED
-102.626859895,40.6411051616001,76,Northeast BOCES,,Haxtun,CO,80731,970.774.6152,Board of Cooperative Educational Services,August 2014,-102.626859895,40.6411051616,PHILLIPS COUNTY,CORRECTED
-102.620748895,38.0872291615,77,Southeast BOCES,,Lamar,CO,81502,719.336.9046,Board of Cooperative Educational Services,August 2014,-102.620748895,38.0872291615,PROWERS COUNTY,CORRECTED
-104.609136895,38.2544401617,78,South Central BOCES,,Pueblo,CO,81007,719.647.0023,Board of Cooperative Educational Services,August 2014,-104.609136895,38.2544401617,PUEBLO COUNTY,CORRECTED
-108.804828895,40.0874791618001,79,Rio Blanco BOCES,,Rangely,CO,81648,970.675.2064,Board of Cooperative Educational Services,August 2014,-108.804828895,40.0874791618,RIO BLANCO COUNTY,CORRECTED
-106.831713895,40.4849821619001,80,Northwest BOCES,,Steamboat Springs,CO,80477,970.879.0391,Board of Cooperative Educational Services,August 2014,-106.831713895,40.4849821619,ROUTT COUNTY,CORRECTED
-104.709126894,40.4233051612999,81,Centennial BOCES,,Greeley,CO,80634,970.352.7404,Board of Cooperative Educational Services,August 2014,-104.709126894,40.4233051613,WELD COUNTY,CORRECTED
-104.836397,39.741163,82,Children's Hospital Colorado - Support Group,13123 E. 16th Ave.,Aurora,CO,80045,720.777.5470,Brain Injury Resources,August 2014,-104.836397,39.741163,ADAMS COUNTY,MATCH
-104.979482,39.850103,83,Vibra Hospital - Support Group,8451 Pearl St.,Thornton,CO,80229,720.540.4316,Brain Injury Resources,August 2014,-104.979482,39.850103,ADAMS COUNTY,MATCH
-104.828139,39.731048,84,Spalding Rehabilitation Hospital - Support Group,900 Potomact St.,Aurora,CO,80011,303.363.5159,Brain Injury Resources,August 2014,-104.828139,39.731048,ARAPAHOE COUNTY,MATCH
-104.977185,39.654416,85,"Craig Hospital, Craig Hospital Family Outpatient - Digby Room - Support Group",3427 S. Emerson St.,Englewood,CO,80113,720.327.7882,Brain Injury Resources,August 2014,-104.977185,39.654416,ARAPAHOE COUNTY,MATCH
-104.980388,39.653276,86,Swedish Medical Center - Colorado Neurological Institute - Support Group,501 E. Hampden,Englewood,CO,80113,303.806.7417,Brain Injury Resources,August 2014,-104.980388,39.653276,ARAPAHOE COUNTY,MATCH
-107.009907,37.261768,87,Silver Foxes Den Senior Center - Support Group,451 Hot Springs,Pagosa Springs,CO,81147,970.507.0252,Brain Injury Resources,August 2014,-107.009907,37.261768,ARCHULETA COUNTY,MATCH
-105.230244,40.015788,88,Center for People with Disabilities - Support Group,1675 Range St.,Boulder,CO,80301,720.352.0465,Brain Injury Resources,August 2014,-105.230244,40.015788,BOULDER COUNTY,MATCH
-105.270546894,40.0149841615001,89,Brain Buddy,265 Seminar Dr.,Boulder,CO,80303,303.204.6260,Brain Injury Resources,August 2014,-105.270546894,40.0149841615,BOULDER COUNTY,CORRECTED
-105.131173,40.150135,90,Kaiser Permanente Medical Center - Support Group,2345 Bent Way,Longmont,CO,80503,970.351.1321,Brain Injury Resources,August 2014,-105.131173,40.150135,BOULDER COUNTY,MATCH
-105.100122,40.165592,91,Longmont Public Library - Support Group,409 4th Ave.,Longmont,CO,80501,303.772.3337,Brain Injury Resources,August 2014,-105.100122,40.165592,BOULDER COUNTY,MATCH
-105.072746,40.087255,92,Colorado Therapeutic Riding Center,11968 Mineral Rd.,Longmont,CO,80504,303.652.9131,Brain Injury Resources,August 2014,-105.072746,40.087255,BOULDER COUNTY,MATCH
-104.868624,39.672468,93,Rocky Mountain Human Services - Support Group,10375 E. Harvard,Denver,CO,80231,303.636.5959,Brain Injury Resources,August 2014,-104.868624,39.672468,DENVER COUNTY,MATCH
-104.94091,39.691417,94,Brain Injury Alliance of Colorado - Support Group,"1385 S. Colorado Blvd., Suite A606",Denver,CO,80206,303.355.9969,Brain Injury Resources,August 2014,-104.94091,39.691417,DENVER COUNTY,MATCH
-104.960818,39.741225,95,Brain Injury Alliance of Colorado - Support Group,1580 Gaylord St.,Denver,CO,80206,720.327.7882,Brain Injury Resources,August 2014,-104.960818,39.741225,DENVER COUNTY,MATCH
-104.993018,39.71495,96,"Bayaud Enterprises, Inc.",333 W. Bayaud Ave.,Denver,CO,80223,303.830.6885,Brain Injury Resources,August 2014,-104.993018,39.71495,DENVER COUNTY,MATCH
-104.769844,39.549609,97,"Parker Adventist Hospital - Support Group, Hilltop Room",9395 Crown Crest Blvd.,Parker,CO,80138,720.203.8959,Brain Injury Resources,August 2014,-104.769844,39.549609,DOUGLAS COUNTY,MATCH
-104.94899,39.351259,98,Begin Again Ranch,3316 Christy Ridge Rd.,Sedalia,CO,80135,909.489.9654,Brain Injury Resources,August 2014,-104.94899,39.351259,DOUGLAS COUNTY,MATCH
-104.820292,38.86571,99,"Penrose Hospital - Support Group, Cancer Conference Rooms B&C",2222 N. Nevada Ave.,Colorado Springs,CO,80907,n/a,Brain Injury Resources,August 2014,-104.820292,38.86571,EL PASO COUNTY,MATCH
-104.823854,38.824023,100,Independence Center - Support Group,729 S. Tejon St.,Colorado Springs,CO,80903,719.471.8181,Brain Injury Resources,August 2014,-104.823854,38.824023,EL PASO COUNTY,MATCH
-104.774289,38.840022,101,Fargo's Pizza - Support Group,2910 E. Platte,Colorado Springs,CO,80909,719.548.9790,Brain Injury Resources,August 2014,-104.774289,38.840022,EL PASO COUNTY,MATCH
-104.819734,38.833056,102,Military - Support Group,17 S. Weber,Colorado Springs,CO,80903,719.357.1300,Brain Injury Resources,August 2014,-104.819734,38.833056,EL PASO COUNTY,MATCH
-104.799323,38.838928,103,Memorial Hospital - Support Group,1400 E. Boulder St.,Colorado Springs,CO,80909,719.365.9837,Brain Injury Resources,August 2014,-104.799323,38.838928,EL PASO COUNTY,MATCH
-104.768599,38.900818,104,Carmel Community Living Corporation,"4740 Flintridge Dr., #220",Colorado Springs,CO,80918,719.477.9972,Brain Injury Resources,August 2014,-104.768599,38.900818,EL PASO COUNTY,MATCH
-105.11771,38.389635,105,Wellness Therapy Center - Support Group,119 S. Pikes Peak,Florence,CO,81226,719.269.8266,Brain Injury Resources,August 2014,-105.11771,38.389635,FREMONT COUNTY,MATCH
-107.324558,39.546557,106,"US Bank - Support Group, Conference Room",802 Grand Ave.,Glenwood Springs,CO,81601,970.379.5693,Brain Injury Resources,August 2014,-107.324558,39.546557,GARFIELD COUNTY,MATCH
-106.924495,38.551344,107,Gunnison Valley Hospital - Support Group,711 N. Taylor St.,Gunnison,CO,81230,970.641.7248,Brain Injury Resources,August 2014,-106.924495,38.551344,GUNNISON COUNTY,MATCH
-105.154519,39.738409,108,"The Arc of Jefferson, Clear Creek, & Gilpin Counties","13949 W. Colfax Ave., Denver West Building 1, Suite 150",Lakewood,CO,80401,303.232.1338,Brain Injury Resources,August 2014,-105.154519,39.738409,JEFFERSON COUNTY,MATCH
-105.132524,39.74026,109,Accent on Independence,11949 W. Colfax Ave.,Lakewood,CO,80215,303.331.0818,Brain Injury Resources,August 2014,-105.132524,39.74026,JEFFERSON COUNTY,MATCH
-105.075921,39.653366,110,Learning Services,7201 W. Hampden Ave.,Lakewood,CO,80227,303.989.6660,Brain Injury Resources,August 2014,-105.075921,39.653366,JEFFERSON COUNTY,MATCH
-105.110635,39.579288,111,"Car-ynne 4 Kids, Inc.",7554 S. Mt. Marcy,Littleton,CO,80127,303.972.6216,Brain Injury Resources,August 2014,-105.110635,39.579288,JEFFERSON COUNTY,MATCH
-107.869071,37.303683,112,Southwest Center for Independence - Support Group,"3473 N. Main Ave., #23",Durango,CO,81321,970.259.1672,Brain Injury Resources,August 2014,-107.869071,37.303683,LA PLATA COUNTY,MATCH
-107.877148,37.241444,113,"Community Connections, Inc.","281 Sawyer Dr., Suite 200",Durango,CO,81303,970.259.2464,Brain Injury Resources,August 2014,-107.877148,37.241444,LA PLATA COUNTY,MATCH
-107.880069895,37.2752851618001,114,Adaptive Sports Association,PO Box 1884,Durango,CO,81302,970.259.0374,Brain Injury Resources,August 2014,-107.880069895,37.2752851618,LA PLATA COUNTY,CORRECTED
-105.059129,40.572844,115,Center for Neurorehabilitation Services - Support Group,1045 Robertson St.,Fort Collins,CO,80524,970.493.6667,Brain Injury Resources,August 2014,-105.059129,40.572844,LARIMER COUNTY,MATCH
-108.558152,39.067183,116,Ratican Tower - Support Group,875 Main St.,Grand Junction,CO,81501,970.361.5495,Brain Injury Resources,August 2014,-108.558152,39.067183,MESA COUNTY,MATCH
-108.550650895,39.0638731616,117,Colorado Discover Ability,PO Box 1924,Grand Junction,CO,81502,970.257.1222,Brain Injury Resources,August 2014,-108.550650895,39.0638731616,MESA COUNTY,CORRECTED
-108.55394,37.356274,118,Southwest Center for Independence - Support Group,2409 E. Empire,Cortez,CO,81321,970.570.8001,Brain Injury Resources,August 2014,-108.55394,37.356274,MONTEZUMA COUNTY,MATCH
-107.861531,38.477355,119,San Juan Living Center - Support Group,1043 Ridge St.,Montrose,CO,81401,970.596.1064,Brain Injury Resources,August 2014,-107.861531,38.477355,MONTROSE COUNTY,MATCH
-103.649364,40.254535,120,East Morgan Community Hospital - Support Group,2400 Edison St.,Brush,CO,80723,970.842.4270,Brain Injury Resources,August 2014,-103.649364,40.254535,MORGAN COUNTY,MATCH
-106.838436,39.191014,121,Aspen Valley Hospital,401 Castle Creek Rd.,Aspen,CO,81611,970.923.0578,Brain Injury Resources,August 2014,-106.838436,39.191014,PITKIN COUNTY,MATCH
-106.937814894,39.2130391615,122,Challenge Aspen,,Snowmass Village,CO,81615,970.923.0578,Brain Injury Resources,August 2014,-106.937814894,39.2130391615,PITKIN COUNTY,CORRECTED
-104.611983,38.282467,123,"Parkview Hospital, North Annex, Sierra Room - Support Group",400 W. 17th St.,Pueblo,CO,81003,719.520.1102,Brain Injury Resources,August 2014,-104.611983,38.282467,PUEBLO COUNTY,MATCH
-104.726688,38.308202,124,Pueblo West Library - Support Group,298 S. Joe Martinez Blvd.,Pueblo West,CO,81007,719.569.9369,Brain Injury Resources,August 2014,-104.726688,38.308202,PUEBLO COUNTY,CORRECTED
-106.04874,39.556813,125,"The Church at Agape Outpost, Youth Support Group",15404 Hwy 9,Breckenridge,CO,80424,970.668.6978,Brain Injury Resources,August 2014,-106.04874,39.556813,SUMMIT COUNTY,MATCH
-106.038354895,39.4816621619,126,Breckenridge Outdoor Education Center,PO Box 697,Breckenridge,CO,80424,970.453.6422,Brain Injury Resources,August 2014,-106.038354895,39.4816621619,SUMMIT COUNTY,CORRECTED
-106.079629,39.569162,127,"St. Anthonys Summit Medical Center, 1st Floor Classroom - Support Group",340 Peak One Dr.,Frisco,CO,80443,970.668.6978,Brain Injury Resources,August 2014,-106.079629,39.569162,SUMMIT COUNTY,MATCH
