OBJECTID,FIPS,Life_Expectancy_Label,COUNTY,TRACT_NAME,LE_20102015,LE_StdError,LE_L95CI,LE_U95CI,LE_STATE
57,08065961700,78.6 Years (95% C.I. 74.3 - 82.9 Years),LAKE,"Census Tract 9617, Lake County, Colorado",78.6,2.18,74.3,82.9,80.5
58,08029965100,77.8 Years (95% C.I. 74.5 - 81.1 Years),DELTA,"Census Tract 9651, Delta County, Colorado",77.8,1.67,74.5,81.1,80.5
59,08029965200,78.5 Years (95% C.I. 75.1 - 81.9 Years),DELTA,"Census Tract 9652, Delta County, Colorado",78.5,1.73,75.1,81.9,80.5
60,08029964600,78.1 Years (95% C.I. 75.2 - 81 Years),DELTA,"Census Tract 9646, Delta County, Colorado",78.1,1.5,75.2,81,80.5
61,08029965000,79.5 Years (95% C.I. 75.9 - 83.1 Years),DELTA,"Census Tract 9650, Delta County, Colorado",79.5,1.83,75.9,83.1,80.5
62,08029964900,79.7 Years (95% C.I. 76.8 - 82.6 Years),DELTA,"Census Tract 9649, Delta County, Colorado",79.7,1.49,76.8,82.6,80.5
63,08029964800,79.8 Years (95% C.I. 76.6 - 83 Years),DELTA,"Census Tract 9648, Delta County, Colorado",79.8,1.65,76.6,83,80.5
64,08029964700,78.8 Years (95% C.I. 75.4 - 82.2 Years),DELTA,"Census Tract 9647, Delta County, Colorado",78.8,1.75,75.4,82.2,80.5
65,08003960300,75.1 Years (95% C.I. 71.9 - 78.3 Years),ALAMOSA,"Census Tract 9603, Alamosa County, Colorado",75.1,1.63,71.9,78.3,80.5
66,08003960200,75.5 Years (95% C.I. 73.7 - 77.3 Years),ALAMOSA,"Census Tract 9602, Alamosa County, Colorado",75.5,0.94,73.7,77.3,80.5
67,08113968200,80.4 Years (95% C.I. 76.2 - 84.6 Years),SAN MIGUEL,"Census Tract 9682, San Miguel County, Colorado",80.4,2.15,76.2,84.6,80.5
68,08083941100,75.5 Years (95% C.I. 69.6 - 81.4 Years),MONTEZUMA,"Census Tract 9411, Montezuma County, Colorado",75.5,3.01,69.6,81.4,80.5
69,08083969400,79.5 Years (95% C.I. 76.2 - 82.8 Years),MONTEZUMA,"Census Tract 9694, Montezuma County, Colorado",79.5,1.69,76.2,82.8,80.5
70,08083969100,80.4 Years (95% C.I. 77.2 - 83.6 Years),MONTEZUMA,"Census Tract 9691, Montezuma County, Colorado",80.4,1.65,77.2,83.6,80.5
71,08083969200,86.2 Years (95% C.I. 79.3 - 93.1 Years),MONTEZUMA,"Census Tract 9692, Montezuma County, Colorado",86.2,3.5,79.3,93.1,80.5
72,08083969000,80.4 Years (95% C.I. 78 - 82.8 Years),MONTEZUMA,"Census Tract 9690, Montezuma County, Colorado",80.4,1.22,78,82.8,80.5
73,08083969600,87.2 Years (95% C.I. 81.4 - 93 Years),MONTEZUMA,"Census Tract 9696, Montezuma County, Colorado",87.2,2.97,81.4,93,80.5
74,08083969300,76.6 Years (95% C.I. 73.9 - 79.3 Years),MONTEZUMA,"Census Tract 9693, Montezuma County, Colorado",76.6,1.39,73.9,79.3,80.5
75,08003960000,81 Years (95% C.I. 78.7 - 83.3 Years),ALAMOSA,"Census Tract 9600, Alamosa County, Colorado",81,1.18,78.7,83.3,80.5
76,08003960100,81 Years (95% C.I. 78.4 - 83.6 Years),ALAMOSA,"Census Tract 9601, Alamosa County, Colorado",81,1.3,78.4,83.6,80.5
77,08091967600,83.2 Years (95% C.I. 78.5 - 87.9 Years),OURAY,"Census Tract 9676, Ouray County, Colorado",83.2,2.39,78.5,87.9,80.5
78,08033000100,76.8 Years (95% C.I. 75.2 - 78.4 Years),DOLORES,"Census Tract 1, Dolores County, Colorado",76.8,0.84,75.2,78.4,80.5
79,08109977600,87.5 Years (95% C.I. 81.2 - 93.8 Years),SAGUACHE,"Census Tract 9776, Saguache County, Colorado",87.5,3.24,81.2,93.8,80.5
80,08109977700,77.7 Years (95% C.I. 75 - 80.4 Years),SAGUACHE,"Census Tract 9777, Saguache County, Colorado",77.7,1.39,75,80.4,80.5
81,08105976700,74.4 Years (95% C.I. 71.9 - 76.9 Years),RIO GRANDE,"Census Tract 9767, Rio Grande County, Colorado",74.4,1.26,71.9,76.9,80.5
82,08105977000,87.6 Years (95% C.I. 82.5 - 92.7 Years),RIO GRANDE,"Census Tract 9770, Rio Grande County, Colorado",87.6,2.61,82.5,92.7,80.5
83,08105976800,74.8 Years (95% C.I. 71.5 - 78.1 Years),RIO GRANDE,"Census Tract 9768, Rio Grande County, Colorado",74.8,1.71,71.5,78.1,80.5
84,08077001706,76.8 Years (95% C.I. 73.8 - 79.8 Years),MESA,"Census Tract 17.06, Mesa County, Colorado",76.8,1.56,73.8,79.8,80.5
85,08077001707,77.3 Years (95% C.I. 71.8 - 82.8 Years),MESA,"Census Tract 17.07, Mesa County, Colorado",77.3,2.83,71.8,82.8,80.5
86,08077001001,79 Years (95% C.I. 75.5 - 82.5 Years),MESA,"Census Tract 10.01, Mesa County, Colorado",79,1.76,75.5,82.5,80.5
87,08077000602,75.4 Years (95% C.I. 71.6 - 79.2 Years),MESA,"Census Tract 6.02, Mesa County, Colorado",75.4,1.94,71.6,79.2,80.5
88,08077000400,78.1 Years (95% C.I. 74.5 - 81.7 Years),MESA,"Census Tract 4, Mesa County, Colorado",78.1,1.82,74.5,81.7,80.5
89,08077001302,82.1 Years (95% C.I. 78.8 - 85.4 Years),MESA,"Census Tract 13.02, Mesa County, Colorado",82.1,1.67,78.8,85.4,80.5
90,08077001102,81.2 Years (95% C.I. 78.4 - 84 Years),MESA,"Census Tract 11.02, Mesa County, Colorado",81.2,1.41,78.4,84,80.5
91,08077000300,73 Years (95% C.I. 68.3 - 77.7 Years),MESA,"Census Tract 3, Mesa County, Colorado",73,2.38,68.3,77.7,80.5
92,08077000200,74.3 Years (95% C.I. 71.3 - 77.3 Years),MESA,"Census Tract 2, Mesa County, Colorado",74.3,1.55,71.3,77.3,80.5
93,08077001501,77.8 Years (95% C.I. 75.7 - 79.9 Years),MESA,"Census Tract 15.01, Mesa County, Colorado",77.8,1.06,75.7,79.9,80.5
94,08077001403,80.9 Years (95% C.I. 77.8 - 84 Years),MESA,"Census Tract 14.03, Mesa County, Colorado",80.9,1.59,77.8,84,80.5
95,08077001301,76.7 Years (95% C.I. 74.2 - 79.2 Years),MESA,"Census Tract 13.01, Mesa County, Colorado",76.7,1.29,74.2,79.2,80.5
96,08077001002,81.7 Years (95% C.I. 79.6 - 83.8 Years),MESA,"Census Tract 10.02, Mesa County, Colorado",81.7,1.08,79.6,83.8,80.5
97,08077000900,78.6 Years (95% C.I. 74.5 - 82.7 Years),MESA,"Census Tract 9, Mesa County, Colorado",78.6,2.08,74.5,82.7,80.5
98,08077001101,78.9 Years (95% C.I. 75.6 - 82.2 Years),MESA,"Census Tract 11.01, Mesa County, Colorado",78.9,1.68,75.6,82.2,80.5
99,08077000800,77.8 Years (95% C.I. 74.3 - 81.3 Years),MESA,"Census Tract 8, Mesa County, Colorado",77.8,1.78,74.3,81.3,80.5
100,08077000700,72.8 Years (95% C.I. 70.3 - 75.3 Years),MESA,"Census Tract 7, Mesa County, Colorado",72.8,1.25,70.3,75.3,80.5
101,08077001900,79.9 Years (95% C.I. 77.3 - 82.5 Years),MESA,"Census Tract 19, Mesa County, Colorado",79.9,1.34,77.3,82.5,80.5
102,08077000601,74.6 Years (95% C.I. 71.8 - 77.4 Years),MESA,"Census Tract 6.01, Mesa County, Colorado",74.6,1.45,71.8,77.4,80.5
103,08077001402,83.1 Years (95% C.I. 79.9 - 86.3 Years),MESA,"Census Tract 14.02, Mesa County, Colorado",83.1,1.62,79.9,86.3,80.5
104,08077001600,78.7 Years (95% C.I. 74.9 - 82.5 Years),MESA,"Census Tract 16, Mesa County, Colorado",78.7,1.95,74.9,82.5,80.5
105,08077001502,81.2 Years (95% C.I. 78.1 - 84.3 Years),MESA,"Census Tract 15.02, Mesa County, Colorado",81.2,1.56,78.1,84.3,80.5
106,08077001703,78.3 Years (95% C.I. 75.3 - 81.3 Years),MESA,"Census Tract 17.03, Mesa County, Colorado",78.3,1.52,75.3,81.3,80.5
107,08077001800,83.8 Years (95% C.I. 79.7 - 87.9 Years),MESA,"Census Tract 18, Mesa County, Colorado",83.8,2.11,79.7,87.9,80.5
108,08077001702,79.5 Years (95% C.I. 78.1 - 80.9 Years),MESA,"Census Tract 17.02, Mesa County, Colorado",79.5,0.71,78.1,80.9,80.5
109,08077001705,73.6 Years (95% C.I. 71.2 - 76 Years),MESA,"Census Tract 17.05, Mesa County, Colorado",73.6,1.2,71.2,76,80.5
110,08077001200,82.2 Years (95% C.I. 77 - 87.4 Years),MESA,"Census Tract 12, Mesa County, Colorado",82.2,2.64,77,87.4,80.5
111,08019014900,80.4 Years (95% C.I. 73.4 - 87.4 Years),CLEAR CREEK,"Census Tract 149, Clear Creek County, Colorado",80.4,3.58,73.4,87.4,80.5
112,08053973100,81.4 Years (95% C.I. 78.9 - 83.9 Years),HINSDALE,"Census Tract 9731, Hinsdale County, Colorado",81.4,1.3,78.9,83.9,80.5
113,08015000401,79.6 Years (95% C.I. 76.4 - 82.8 Years),CHAFFEE,"Census Tract 4.01, Chaffee County, Colorado",79.6,1.64,76.4,82.8,80.5
114,08015000100,76.7 Years (95% C.I. 74.1 - 79.3 Years),CHAFFEE,"Census Tract 1, Chaffee County, Colorado",76.7,1.34,74.1,79.3,80.5
115,08015000200,79.7 Years (95% C.I. 78.2 - 81.2 Years),CHAFFEE,"Census Tract 2, Chaffee County, Colorado",79.7,0.77,78.2,81.2,80.5
116,08015000300,83.8 Years (95% C.I. 79.6 - 88 Years),CHAFFEE,"Census Tract 3, Chaffee County, Colorado",83.8,2.15,79.6,88,80.5
117,08085966502,82.1 Years (95% C.I. 78.6 - 85.6 Years),MONTROSE,"Census Tract 9665.02, Montrose County, Colorado",82.1,1.81,78.6,85.6,80.5
118,08085966601,79.3 Years (95% C.I. 75.4 - 83.2 Years),MONTROSE,"Census Tract 9666.01, Montrose County, Colorado",79.3,1.97,75.4,83.2,80.5
119,08085966602,80.3 Years (95% C.I. 76.8 - 83.8 Years),MONTROSE,"Census Tract 9666.02, Montrose County, Colorado",80.3,1.79,76.8,83.8,80.5
120,08085966201,82.6 Years (95% C.I. 76.6 - 88.6 Years),MONTROSE,"Census Tract 9662.01, Montrose County, Colorado",82.6,3.05,76.6,88.6,80.5
121,08085966503,77.1 Years (95% C.I. 71.4 - 82.8 Years),MONTROSE,"Census Tract 9665.03, Montrose County, Colorado",77.1,2.9,71.4,82.8,80.5
122,08085966501,79 Years (95% C.I. 74 - 84 Years),MONTROSE,"Census Tract 9665.01, Montrose County, Colorado",79,2.56,74,84,80.5
123,08085966202,81.4 Years (95% C.I. 78.3 - 84.5 Years),MONTROSE,"Census Tract 9662.02, Montrose County, Colorado",81.4,1.58,78.3,84.5,80.5
124,08085966100,78.2 Years (95% C.I. 76.4 - 80 Years),MONTROSE,"Census Tract 9661, Montrose County, Colorado",78.2,0.9,76.4,80,80.5
125,08085966400,77.3 Years (95% C.I. 75.3 - 79.3 Years),MONTROSE,"Census Tract 9664, Montrose County, Colorado",77.3,1.03,75.3,79.3,80.5
126,08085966300,76.5 Years (95% C.I. 74.2 - 78.8 Years),MONTROSE,"Census Tract 9663, Montrose County, Colorado",76.5,1.19,74.2,78.8,80.5
127,08007940400,79.8 Years (95% C.I. 77.4 - 82.2 Years),ARCHULETA,"Census Tract 9404, Archuleta County, Colorado",79.8,1.24,77.4,82.2,80.5
128,08007974200,79.3 Years (95% C.I. 76.5 - 82.1 Years),ARCHULETA,"Census Tract 9742, Archuleta County, Colorado",79.3,1.42,76.5,82.1,80.5
129,08007974400,81.3 Years (95% C.I. 78.3 - 84.3 Years),ARCHULETA,"Census Tract 9744, Archuleta County, Colorado",81.3,1.51,78.3,84.3,80.5
130,08007974300,87.8 Years (95% C.I. 81.4 - 94.2 Years),ARCHULETA,"Census Tract 9743, Archuleta County, Colorado",87.8,3.25,81.4,94.2,80.5
131,08093000100,79.9 Years (95% C.I. 77 - 82.8 Years),PARK,"Census Tract 1, Park County, Colorado",79.9,1.5,77,82.8,80.5
132,08093000200,81 Years (95% C.I. 76.2 - 85.8 Years),PARK,"Census Tract 2, Park County, Colorado",81,2.42,76.2,85.8,80.5
133,08001009606,77.8 Years (95% C.I. 72.6 - 83 Years),ADAMS,"Census Tract 96.06, Adams County, Colorado",77.8,2.66,72.6,83,80.5
134,08001009320,72.4 Years (95% C.I. 68.4 - 76.4 Years),ADAMS,"Census Tract 93.20, Adams County, Colorado",72.4,2.06,68.4,76.4,80.5
135,08001009409,82.2 Years (95% C.I. 77.6 - 86.8 Years),ADAMS,"Census Tract 94.09, Adams County, Colorado",82.2,2.33,77.6,86.8,80.5
136,08001009322,80.8 Years (95% C.I. 76.3 - 85.3 Years),ADAMS,"Census Tract 93.22, Adams County, Colorado",80.8,2.3,76.3,85.3,80.5
137,08001009607,77.3 Years (95% C.I. 74.1 - 80.5 Years),ADAMS,"Census Tract 96.07, Adams County, Colorado",77.3,1.62,74.1,80.5,80.5
138,08001009304,77.8 Years (95% C.I. 74.4 - 81.2 Years),ADAMS,"Census Tract 93.04, Adams County, Colorado",77.8,1.73,74.4,81.2,80.5
139,08001060200,79 Years (95% C.I. 72.9 - 85.1 Years),ADAMS,"Census Tract 602, Adams County, Colorado",79,3.12,72.9,85.1,80.5
140,08001009325,84.1 Years (95% C.I. 78.7 - 89.5 Years),ADAMS,"Census Tract 93.25, Adams County, Colorado",84.1,2.75,78.7,89.5,80.5
141,08069001601,77.4 Years (95% C.I. 73.8 - 81 Years),LARIMER,"Census Tract 16.01, Larimer County, Colorado",77.4,1.84,73.8,81,80.5
142,08069001301,84.1 Years (95% C.I. 77.8 - 90.4 Years),LARIMER,"Census Tract 13.01, Larimer County, Colorado",84.1,3.21,77.8,90.4,80.5
143,08069001114,81.9 Years (95% C.I. 79.5 - 84.3 Years),LARIMER,"Census Tract 11.14, Larimer County, Colorado",81.9,1.22,79.5,84.3,80.5
144,08069001113,80.2 Years (95% C.I. 76.5 - 83.9 Years),LARIMER,"Census Tract 11.13, Larimer County, Colorado",80.2,1.87,76.5,83.9,80.5
145,08069001107,78.6 Years (95% C.I. 75.1 - 82.1 Years),LARIMER,"Census Tract 11.07, Larimer County, Colorado",78.6,1.8,75.1,82.1,80.5
146,08069001104,79.8 Years (95% C.I. 75.9 - 83.7 Years),LARIMER,"Census Tract 11.04, Larimer County, Colorado",79.8,2.01,75.9,83.7,80.5
147,08069001112,76.4 Years (95% C.I. 73.8 - 79 Years),LARIMER,"Census Tract 11.12, Larimer County, Colorado",76.4,1.3,73.8,79,80.5
148,08069001010,79.5 Years (95% C.I. 75.5 - 83.5 Years),LARIMER,"Census Tract 10.10, Larimer County, Colorado",79.5,2.05,75.5,83.5,80.5
149,08069001007,87.2 Years (95% C.I. 81.7 - 92.7 Years),LARIMER,"Census Tract 10.07, Larimer County, Colorado",87.2,2.81,81.7,92.7,80.5
150,08069000300,81.4 Years (95% C.I. 77.8 - 85 Years),LARIMER,"Census Tract 3, Larimer County, Colorado",81.4,1.85,77.8,85,80.5
151,08069002700,79.9 Years (95% C.I. 77.2 - 82.6 Years),LARIMER,"Census Tract 27, Larimer County, Colorado",79.9,1.4,77.2,82.6,80.5
152,08069002600,81.3 Years (95% C.I. 78.3 - 84.3 Years),LARIMER,"Census Tract 26, Larimer County, Colorado",81.3,1.55,78.3,84.3,80.5
153,08001015000,74.2 Years (95% C.I. 71.2 - 77.2 Years),ADAMS,"Census Tract 150, Adams County, Colorado",74.2,1.51,71.2,77.2,80.5
154,08001008538,81.3 Years (95% C.I. 77.1 - 85.5 Years),ADAMS,"Census Tract 85.38, Adams County, Colorado",81.3,2.13,77.1,85.5,80.5
155,08001009326,82.3 Years (95% C.I. 78.9 - 85.7 Years),ADAMS,"Census Tract 93.26, Adams County, Colorado",82.3,1.73,78.9,85.7,80.5
156,08001009206,79.3 Years (95% C.I. 73.2 - 85.4 Years),ADAMS,"Census Tract 92.06, Adams County, Colorado",79.3,3.12,73.2,85.4,80.5
157,08001008546,81.3 Years (95% C.I. 75.3 - 87.3 Years),ADAMS,"Census Tract 85.46, Adams County, Colorado",81.3,3.06,75.3,87.3,80.5
158,08001008901,75.8 Years (95% C.I. 71.5 - 80.1 Years),ADAMS,"Census Tract 89.01, Adams County, Colorado",75.8,2.22,71.5,80.1,80.5
159,08001009608,82.3 Years (95% C.I. 75.4 - 89.2 Years),ADAMS,"Census Tract 96.08, Adams County, Colorado",82.3,3.52,75.4,89.2,80.5
160,08001009604,76 Years (95% C.I. 73.7 - 78.3 Years),ADAMS,"Census Tract 96.04, Adams County, Colorado",76,1.17,73.7,78.3,80.5
161,08001009202,76.5 Years (95% C.I. 73.8 - 79.2 Years),ADAMS,"Census Tract 92.02, Adams County, Colorado",76.5,1.37,73.8,79.2,80.5
162,08001008801,74.8 Years (95% C.I. 71.9 - 77.7 Years),ADAMS,"Census Tract 88.01, Adams County, Colorado",74.8,1.46,71.9,77.7,80.5
163,08001009401,79.7 Years (95% C.I. 76.9 - 82.5 Years),ADAMS,"Census Tract 94.01, Adams County, Colorado",79.7,1.41,76.9,82.5,80.5
164,08001009406,80.4 Years (95% C.I. 76.8 - 84 Years),ADAMS,"Census Tract 94.06, Adams County, Colorado",80.4,1.83,76.8,84,80.5
165,08001008542,76.8 Years (95% C.I. 72.4 - 81.2 Years),ADAMS,"Census Tract 85.42, Adams County, Colorado",76.8,2.25,72.4,81.2,80.5
166,08001008539,81 Years (95% C.I. 75.6 - 86.4 Years),ADAMS,"Census Tract 85.39, Adams County, Colorado",81,2.75,75.6,86.4,80.5
167,08001009327,79.8 Years (95% C.I. 76.9 - 82.7 Years),ADAMS,"Census Tract 93.27, Adams County, Colorado",79.8,1.47,76.9,82.7,80.5
168,08001009207,79.4 Years (95% C.I. 75.2 - 83.6 Years),ADAMS,"Census Tract 92.07, Adams County, Colorado",79.4,2.14,75.2,83.6,80.5
169,08001060100,83.2 Years (95% C.I. 76.7 - 89.7 Years),ADAMS,"Census Tract 601, Adams County, Colorado",83.2,3.31,76.7,89.7,80.5
170,08001009410,80 Years (95% C.I. 77.5 - 82.5 Years),ADAMS,"Census Tract 94.10, Adams County, Colorado",80,1.28,77.5,82.5,80.5
171,08001008802,74.7 Years (95% C.I. 70.8 - 78.6 Years),ADAMS,"Census Tract 88.02, Adams County, Colorado",74.7,2,70.8,78.6,80.5
172,08001008529,80 Years (95% C.I. 76.1 - 83.9 Years),ADAMS,"Census Tract 85.29, Adams County, Colorado",80,2.01,76.1,83.9,80.5
